step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,501,0,21902,21902,19.625000,279,24.250000,0,0
1,0,502,0,279,491,25.625000,491,25.750000,1,1
2,0,504,1,869,869,22.625000,1608,24.875000,0,0
3,0,505,1,1608,1608,22.875000,279,24.125000,0,0
4,0,506,1,279,279,24.625000,11086,23.750000,0,0
5,0,507,1,11086,11086,19.000000,5096,25.750000,0,0
6,0,508,1,5096,5096,21.875000,11,23.875000,0,0
7,0,509,1,11,1179,28.625000,1179,26.625000,1,1
8,0,511,2,31192,31192,23.000000,279,25.000000,0,0
9,0,512,2,279,7384,27.000000,3240,21.500000,0,0
10,0,513,2,3240,364,23.625000,314,18.500000,0,0
11,0,514,2,314,279,18.875000,279,21.250000,1,1
12,0,516,3,29201,321,21.375000,321,22.250000,1,1
13,0,518,4,279,7384,20.625000,7384,21.500000,1,1
14,0,520,5,3240,3240,20.750000,310,23.375000,0,0
15,0,521,5,310,1423,24.625000,1423,23.500000,1,1
16,0,523,6,279,4041,20.875000,4041,22.875000,1,1
17,0,525,7,11044,13,20.250000,13,22.375000,1,1
18,0,527,8,17704,17704,14.375000,47866,22.500000,0,0
19,0,528,8,47866,47866,21.625000,264,24.125000,0,0
20,0,529,8,264,1542,20.625000,1542,25.250000,1,1
21,0,531,9,14445,14445,23.250000,3234,22.125000,0,0
22,0,532,9,3234,3234,20.750000,364,23.875000,0,0
23,0,533,9,364,364,21.625000,76837,22.625000,0,0
24,0,534,9,76837,76837,18.625000,15706,23.750000,0,0
25,0,535,9,15706,15706,23.375000,10867,24.750000,0,0
26,0,536,9,10867,10867,21.250000,321,24.000000,0,0
27,0,537,9,321,1179,24.750000,1179,23.750000,1,1
28,0,539,10,35872,35872,20.125000,31347,24.125000,0,0
29,0,540,10,31347,31347,21.375000,15706,24.500000,0,0
30,0,541,10,15706,15706,22.625000,777,23.875000,0,0
31,0,542,10,777,777,22.750000,383,24.375000,0,0
32,0,543,10,383,29201,22.750000,29201,23.500000,1,1
33,0,545,11,13,561,24.875000,561,23.125000,1,1
34,0,547,12,47791,47791,22.875000,12339,23.500000,0,0
35,0,548,12,12339,12339,21.250000,279,24.125000,0,0
36,0,549,12,279,869,25.875000,869,25.625000,1,1
37,0,551,13,314,279,26.250000,279,25.875000,1,1
38,0,553,14,3626,3626,18.125000,539,24.625000,0,0
39,0,554,14,539,539,24.875000,799,25.000000,0,0
40,0,555,14,799,7493,21.500000,7493,23.750000,1,1
41,0,557,15,321,31347,22.125000,31347,25.750000,1,1
42,0,559,16,3161,3161,24.875000,888,23.125000,0,0
43,0,560,16,888,279,21.375000,279,23.250000,1,1
44,0,562,17,3889,3240,23.250000,7384,23.000000,0,0
45,0,563,17,7384,7384,22.375000,3240,23.750000,0,0
46,0,564,17,3240,3240,22.625000,13,24.125000,0,0
47,0,565,17,13,1165,23.500000,1165,22.750000,1,1
48,0,567,18,1318,310,22.250000,279,23.750000,0,0
49,0,568,18,279,279,22.625000,11044,23.500000,0,0
50,0,569,18,11044,11044,21.125000,1238,24.125000,0,0
51,0,570,18,1238,1238,22.875000,10910,25.375000,0,0
52,0,571,18,10910,10910,22.375000,506,25.000000,0,0
53,0,572,18,506,506,24.375000,279,23.250000,0,0
54,0,573,18,279,24986,23.125000,24986,20.500000,1,1
55,0,575,19,2981,3240,21.125000,11044,22.125000,0,0
56,0,576,19,11044,11044,18.875000,13,21.125000,0,0
57,0,577,19,13,271,18.250000,21902,20.000000,0,0
58,0,578,19,21902,279,19.000000,279,23.125000,1,1
59,0,580,20,491,869,19.125000,869,22.125000,1,1
60,0,582,21,1608,1608,19.125000,279,23.000000,0,0
61,0,583,21,279,11086,22.000000,11086,23.500000,1,1
62,0,585,22,5096,11,22.875000,11,23.000000,1,1
63,0,587,23,1179,31192,22.500000,31192,25.000000,1,1
64,0,589,24,279,3240,22.750000,3240,22.875000,1,1
65,0,591,25,314,279,23.875000,279,24.000000,1,1
66,0,593,26,29201,321,20.000000,321,24.375000,1,1
67,0,595,27,279,7384,23.500000,7384,23.750000,1,1
68,0,597,28,3240,3240,20.000000,310,23.750000,0,0
69,0,598,28,310,1423,24.000000,1423,23.250000,1,1
70,0,600,29,279,4041,21.500000,4041,20.625000,1,1
71,0,602,30,11044,11044,19.250000,13,22.750000,0,0
72,0,603,30,13,271,19.500000,17704,19.875000,0,0
73,0,604,30,17704,17704,14.937500,47866,22.500000,0,0
74,0,605,30,47866,47866,21.750000,264,24.000000,0,0
75,0,606,30,264,1542,21.750000,1542,26.500000,1,1
76,0,608,31,14445,14445,22.125000,3234,22.875000,0,0
77,0,609,31,3234,3234,22.875000,364,24.125000,0,0
78,0,610,31,364,76837,22.000000,76837,24.625000,1,1
79,0,612,32,15706,15706,24.250000,10867,25.000000,0,0
80,0,613,32,10867,10867,22.000000,321,24.500000,0,0
81,0,614,32,321,1179,25.250000,1179,24.125000,1,1
82,0,616,33,35872,35872,21.000000,31347,24.875000,0,0
83,0,617,33,31347,31347,22.625000,15706,23.500000,0,0
84,0,618,33,15706,15706,21.625000,777,23.625000,0,0
85,0,619,33,777,777,23.125000,383,24.250000,0,0
86,0,620,33,383,29201,22.125000,29201,25.500000,1,1
87,0,622,34,13,561,25.125000,561,23.250000,1,1
88,0,624,35,47791,47791,24.000000,12339,24.250000,0,0
89,0,625,35,12339,12339,22.625000,279,24.125000,0,0
90,0,626,35,279,869,26.125000,869,23.250000,1,1
