step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,494,0,5339,11,18.125000,31192,23.750000,0,0
1,0,495,0,31192,31192,21.625000,33416,24.125000,0,0
2,0,496,0,33416,33416,24.500000,321,24.000000,0,0
3,0,497,0,321,39334,22.875000,39334,24.250000,1,1
4,0,499,1,18237,18237,21.875000,494,24.500000,0,0
5,0,500,1,494,279,24.000000,279,23.125000,1,1
6,0,502,2,7071,21261,17.250000,10641,23.625000,0,0
7,0,503,2,10641,10641,23.000000,11,22.875000,0,0
8,0,504,2,11,1179,27.125000,1179,25.750000,1,1
9,0,506,3,29283,279,20.500000,279,22.375000,1,1
10,0,508,4,62266,62266,19.750000,1698,27.375000,0,0
11,0,509,4,1698,1698,18.750000,539,24.750000,0,0
12,0,510,4,539,539,26.625000,279,23.625000,0,0
13,0,511,4,279,791,24.125000,791,24.250000,1,1
14,0,513,5,12,27445,26.500000,27445,24.625000,1,1
15,0,515,6,3240,3240,19.625000,13,22.625000,0,0
16,0,516,6,13,198,20.500000,271,19.625000,0,0
17,0,517,6,271,17770,16.750000,248068,19.625000,0,0
18,0,518,6,248068,271,22.625000,271,21.500000,1,1
19,0,520,7,248069,271,25.750000,271,29.000000,1,1
20,0,522,8,8160,369,26.250000,369,27.750000,1,1
21,0,524,9,279,2923,35.500000,2923,35.000000,1,1
22,0,526,10,13909,28253,29.000000,28253,32.750000,1,1
23,0,528,11,21261,310,27.375000,310,30.000000,1,1
24,0,530,12,7995,1204,20.125000,1204,28.750000,1,1
25,0,532,13,1691,51864,22.375000,51864,26.250000,1,1
26,0,534,14,3520,506,23.250000,506,28.250000,1,1
27,0,536,15,279,19719,27.875000,19719,30.875000,1,1
28,0,538,16,6,2981,28.125000,2981,31.625000,1,1
29,0,540,17,25,271,30.500000,271,31.375000,1,1
30,0,542,18,13962,14392,24.375000,14392,31.500000,1,1
31,0,544,19,220,16,34.500000,16,34.500000,1,1
32,0,546,20,25,19892,28.875000,19892,30.125000,1,1
33,0,548,21,279,2702,26.250000,2702,26.250000,1,1
34,0,550,22,1324,314,29.500000,314,28.625000,1,1
35,0,552,23,18237,1429,18.000000,1429,20.375000,1,1
36,0,554,24,198,14372,15.312500,17770,24.250000,0,0
37,0,555,24,17770,294,18.750000,294,32.250000,1,1
38,0,557,25,5533,1330,20.875000,18237,24.500000,0,0
39,0,558,25,18237,364,21.375000,364,27.625000,1,1
40,0,560,26,1330,9602,24.375000,9602,26.875000,1,1
41,0,562,27,25,198,22.250000,16976,25.250000,0,0
42,0,563,27,16976,321,21.125000,321,24.500000,1,1
43,0,565,28,26912,52480,21.875000,52480,23.375000,1,1
44,0,567,29,1283,13,24.625000,13,28.875000,1,1
45,0,569,30,198,9,27.500000,9,31.375000,1,1
46,0,571,31,256,73201,23.375000,73201,23.750000,1,1
47,0,573,32,33416,364,26.750000,364,29.000000,1,1
48,0,575,33,16976,25,23.250000,25,30.875000,1,1
49,0,577,34,2972,18,30.750000,18,33.500000,1,1
50,0,579,35,332,198,27.750000,198,31.000000,1,1
51,0,581,36,9,256,25.750000,256,34.250000,1,1
52,0,583,37,73201,1429,21.125000,1429,27.500000,1,1
53,0,585,38,364,26912,25.000000,52480,24.500000,0,0
54,0,586,38,52480,1283,23.000000,1283,34.500000,1,1
55,0,588,39,25,2972,23.750000,2972,28.875000,1,1
56,0,590,40,19,332,23.125000,332,30.500000,1,1
57,0,592,41,271,7354,24.125000,7354,27.625000,1,1
58,0,594,42,18237,1429,22.875000,1429,26.125000,1,1
59,0,596,43,283,393,22.500000,393,28.125000,1,1
60,0,598,44,18,3,20.500000,478,31.125000,0,0
61,0,599,44,478,220,26.250000,220,29.500000,1,1
62,0,601,45,19,283,23.125000,283,28.625000,1,1
63,0,603,46,220,22,34.000000,22,33.000000,1,1
64,0,605,47,3,18237,24.750000,18237,26.250000,1,1
65,0,607,48,13,271,30.125000,271,32.000000,1,1
66,0,609,49,13962,14392,22.625000,14392,33.000000,1,1
67,0,611,50,220,17,40.250000,17,37.500000,1,1
68,0,613,51,25,19892,32.000000,19892,33.250000,1,1
69,0,615,52,279,1324,25.625000,1324,26.750000,1,1
70,0,617,53,314,18237,24.750000,18237,25.250000,1,1
71,0,619,54,5898,364,26.000000,198,27.500000,0,0
72,0,620,54,198,760,17.750000,17770,23.625000,0,0
