NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,12003,12003,0,1401,218174761,155727.9,10304.0,2848,104958822,2808827.2,ucopy_bf16
,,12003,12003,0,168,61111099,363756.5,362385.5,361697,400609,5380.4,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
,,12003,12003,0,3200,41802228,13063.2,4352.0,4192,276833,47386.7,cast_bf16_f32
,,12003,12003,0,3096,20241325,6537.9,6528.0,6336,7776,100.7,cast_f32_bf16
,,12003,12003,0,129,19245311,149188.5,149248.0,145536,154977,1691.8,fast_argmax_bf16
,,12003,12003,0,8280,17191346,2076.2,1600.0,1440,58208,4946.4,bmul_bf16
,,12003,12003,0,4128,8125023,1968.3,1600.0,1536,51168,4309.5,urecip_bf16
,,12003,12003,0,4128,8073054,1955.7,1568.0,1536,50560,4257.0,uexp_bf16
,,12003,12003,0,4128,7900926,1914.0,1536.0,1504,49057,4127.5,affine_bf16
,,12003,12003,0,4128,7867930,1906.0,1536.0,1504,49281,4140.4,uneg_bf16
,,12003,12003,0,720,3616780,5023.3,5504.0,4128,6528,714.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,12003,12003,0,192,853601,4445.8,4544.0,3680,4832,267.9,copy2d_bf16
,,12003,12003,0,129,426721,3307.9,3136.0,3040,25376,1958.6,is_u32_bf16
,,12003,12003,0,129,395202,3063.6,3072.0,3008,3200,29.5,bmul_f32
,,12003,12003,0,48,232384,4841.3,4832.0,4640,5152,143.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
,,12003,12003,0,129,202048,1566.3,1568.0,1536,1696,15.7,usin_f32
,,12003,12003,0,129,199585,1547.2,1536.0,1536,1696,19.9,ucos_f32
,,12003,12003,0,24,146592,6108.0,6096.0,5984,6240,59.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align2>(T1::Params)
,,12003,12003,0,24,128707,5362.8,5376.0,5152,5409,50.8,badd_bf16
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,2048,141423307,69054.3,69024.0,61248,77249,4475.8,ucopy_bf16
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,44111834,43078.0,43136.0,41824,44417,553.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,32929221,32157.4,31552.0,28192,35009,2035.0,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,2197286,2145.8,2144.0,2016,2400,72.3,uneg_bf16
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,1966153,1920.1,1952.0,1824,2080,57.5,uexp_bf16
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,1764361,1723.0,1728.0,1632,1792,30.2,bmul_bf16
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,1620868,1582.9,1568.0,1536,1632,16.1,urecip_bf16
:kiln/attn/full/decode_fused,PushPop,12003,12003,1024,1024,1549955,1513.6,1504.0,1472,1536,15.3,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,40,1711812,42795.3,57616.5,16064,62464,22019.4,ucopy_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,706369,88296.1,88304.0,87873,88704,290.9,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,517218,64652.3,64560.0,63520,65696,733.4,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,217985,27248.1,27344.0,26624,27681,378.8,bmul_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,191617,23952.1,23952.0,23808,24064,90.4,urecip_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,189216,23652.0,23680.0,23040,23936,269.1,uexp_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,183072,22884.0,22864.0,22784,23040,81.0,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,8,179682,22460.3,22464.0,22336,22560,71.3,uneg_bf16
:kiln/attn/full/prefill_initial,PushPop,12003,12003,8,16,122433,7652.1,7648.0,7424,8000,145.0,copy2d_bf16
:kiln/attn/gdn/chunk,PushPop,12003,12003,24,24,2790531,116272.1,116208.5,115968,117120,254.5,"void <unnamed>::gdn_chunk_scan_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/chunk_prep,PushPop,12003,12003,24,24,334178,13924.1,13888.0,13792,14272,114.5,"void <unnamed>::gdn_chunk_prep_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/recurrent,PushPop,12003,12003,3072,3072,51338911,16711.9,16704.0,16160,16801,56.8,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/qk_norm,PushPop,12003,12003,1032,2064,4130188,2001.1,1920.0,1792,22304,1303.0,"<unnamed>::fused_rmsnorm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
:kiln/attn/qkv_transpose,PushPop,12003,12003,8,8,459715,57464.4,57440.0,57313,57729,132.5,ucopy_bf16
:kiln/attn/rope,PushPop,12003,12003,1032,8256,26173867,3170.3,3136.0,2944,10976,447.8,bmul_f32
:kiln/attn/rope,PushPop,12003,12003,1032,6192,18093466,2922.1,2848.0,2496,55552,1990.8,ucopy_f32
:kiln/attn/rope,PushPop,12003,12003,1032,2064,6688947,3240.8,3040.0,2784,63872,3822.0,cast_f32_bf16
:kiln/attn/rope,PushPop,12003,12003,1032,2064,3292593,1595.2,1696.0,1408,3584,201.6,bsub_f32
:kiln/attn/rope,PushPop,12003,12003,1032,2064,3289542,1593.8,1696.0,1408,3552,202.0,badd_f32
:kiln/attn/rope,PushPop,12003,12003,1032,2064,3118125,1510.7,1408.0,1344,25024,1497.1,cast_bf16_f32
