Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
24.8,1590039441,3096,513578.6,200832.0,167165,976158388,17540149.3,:kiln/gdn/qk_norm
11.9,765711518,3096,247322.8,245323.0,207025,2690321,81685.9,:kiln/gdn/gates
11.2,720310496,3096,232658.4,236517.5,194106,1947799,59712.7,:kiln/gdn/gated_norm
7.5,481372343,3096,155482.0,114332.5,96160,124515016,2239895.7,:kiln/gdn/in_proj
7.0,451605343,1032,437602.1,441261.0,370696,7240284,225387.4,:kiln/attn/rope
4.7,304270806,4128,73709.0,74499.0,62536,992768,20314.5,:kiln/mlp/gate
4.6,296283604,4128,71774.1,71984.5,60463,2048660,39492.5,:kiln/mlp/up
4.4,283749062,4128,68737.7,69596.5,58359,1014591,24874.9,:kiln/mlp/down
3.2,204977897,1024,200173.7,202101.0,167116,1179592,56579.9,:kiln/attn/full/decode_fused
2.3,148328988,3096,47909.9,47445.0,37303,1978693,41318.2,:kiln/gdn/head_expand
2.3,145606162,1032,141091.2,139433.5,117432,1304493,63815.0,:kiln/proj/qkv
2.1,135051085,8256,16357.9,15711.0,11148,871020,16446.1,:kiln/residual
2.0,129595803,3096,41859.1,40152.0,29235,1321556,32877.9,:kiln/gdn/out_proj
1.7,107248626,3072,34911.7,32959.5,27186,3250331,63973.3,:kiln/attn/gdn/recurrent
1.6,103526329,4128,25079.1,24853.0,19994,725263,11424.1,:kiln/norm/pre_mlp
1.5,96966485,4128,23489.9,22825.0,19034,2056265,33741.9,:kiln/norm/pre_attn
1.5,94553219,3096,30540.4,29437.0,24654,311313,14176.1,:kiln/gdn/conv
1.3,83412267,3072,27152.4,27090.0,22956,76005,2896.2,:kiln/gdn/conv/update
0.7,45883227,1032,44460.5,45381.0,36790,94812,4798.4,:kiln/proj/qkv_split
0.7,44320485,1032,42946.2,43250.0,37117,204399,6891.8,:kiln/attn/qk_norm
0.6,41137008,3096,13287.1,13169.5,11112,60740,2066.8,:kiln/gdn/recur_prep
0.6,40067240,1032,38824.8,37821.5,28791,908656,27633.4,:kiln/proj/o
0.5,32506108,1032,31498.2,29791.0,25122,958057,39762.8,:kiln/kv/copy
0.4,23421183,8,2927647.9,492915.0,478112,19981790,6890921.5,:kiln/attn/full/prefill_initial
0.2,10403673,129,80648.6,66869.0,55902,2046330,174529.4,:kiln/lm_head
0.1,8508780,3096,2748.3,2148.5,1584,202593,6380.2,:kiln/gdn/qkv_split
0.1,5199754,3072,1692.6,1551.0,1054,103759,2105.8,:kiln/attn/gdn/precopy
0.1,4450506,3096,1437.5,724.5,421,272893,11626.8,:kiln/gdn/conv/layout
0.1,4002956,24,166789.8,152152.5,41638,299130,119412.5,:kiln/attn/gdn/chunk
0.0,2879026,24,119959.4,99503.5,91384,376504,61404.7,:kiln/attn/gdn/chunk_prep
0.0,1950854,3096,630.1,504.0,314,17526,619.7,:kiln/gdn/post_transpose
0.0,942060,1032,912.8,626.5,381,31325,1986.5,:kiln/attn/qkv_transpose
0.0,909432,24,37893.0,30731.0,27455,196632,33945.3,:kiln/gdn/conv/prefill_update
0.0,566164,1024,552.9,498.0,259,4777,247.8,:kiln/attn/q_fa_transpose
