step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,506,0,561,561,21.125000,29144,23.875000,0,0
1,0,507,0,29144,29144,23.250000,6165,24.625000,0,0
2,0,508,0,6165,6165,26.375000,27050,24.750000,0,0
3,0,509,0,27050,27050,24.000000,279,24.250000,0,0
4,0,510,0,279,279,24.625000,24460,22.000000,0,0
5,0,511,0,24460,3377,20.125000,3377,24.875000,1,1
6,0,513,1,303,303,27.875000,3150,28.500000,0,0
7,0,514,1,3150,3150,24.250000,854,24.875000,0,0
8,0,515,1,854,854,27.875000,13,25.000000,0,0
9,0,516,1,13,271,27.750000,2838,23.500000,0,0
10,0,517,1,2838,2838,25.250000,5947,23.750000,0,0
11,0,518,1,5947,5947,20.750000,264,24.875000,0,0
12,0,519,1,264,15352,23.625000,15352,26.125000,1,1
13,0,521,2,6157,6157,27.000000,314,24.500000,0,0
14,0,522,2,314,2981,25.875000,2981,25.625000,1,1
15,0,524,3,17793,314,34.250000,364,24.875000,0,0
16,0,525,3,364,279,30.000000,279,24.125000,1,1
17,0,527,4,48736,48736,22.625000,1830,24.250000,0,0
18,0,528,4,1830,364,22.750000,13,23.750000,0,0
19,0,529,4,13,271,25.000000,561,20.625000,0,0
20,0,530,4,561,561,16.250000,3841,21.875000,0,0
21,0,531,4,3841,3841,23.750000,13477,24.875000,0,0
22,0,532,4,13477,13477,20.875000,37550,23.625000,0,0
23,0,533,4,37550,37550,24.500000,33075,24.125000,0,0
24,0,534,4,33075,33075,22.375000,888,25.125000,0,0
25,0,535,4,888,888,29.625000,279,24.125000,0,0
26,0,536,4,279,279,23.125000,15217,24.750000,0,0
27,0,537,4,15217,15217,24.250000,5388,24.875000,0,0
28,0,538,4,5388,5388,26.125000,3043,23.375000,0,0
29,0,539,4,3043,3043,23.625000,279,24.500000,0,0
30,0,540,4,279,279,24.500000,14367,24.000000,0,0
31,0,541,4,14367,14367,21.500000,5883,23.750000,0,0
32,0,542,4,5883,5883,23.375000,13,24.375000,0,0
33,0,543,4,13,271,26.250000,54134,22.375000,0,0
34,0,544,4,54134,54134,19.500000,10782,23.625000,0,0
35,0,545,4,10782,10782,24.000000,264,25.125000,0,0
36,0,546,4,264,491,28.625000,491,25.500000,1,1
37,0,548,5,9140,9140,25.375000,314,25.000000,0,0
38,0,549,5,314,279,24.375000,5365,26.000000,0,0
39,0,550,5,5365,5365,19.000000,7559,26.250000,0,0
40,0,551,5,7559,7559,24.125000,64,27.250000,0,0
41,0,552,5,64,64,23.875000,7397,24.750000,0,0
42,0,553,5,7397,7397,22.500000,303,25.750000,0,0
43,0,554,5,303,279,31.750000,279,25.000000,1,1
44,0,556,6,15979,20915,17.250000,20915,25.375000,1,1
45,0,558,7,13,561,27.000000,561,23.500000,1,1
46,0,560,8,29144,29144,22.000000,6165,24.750000,0,0
47,0,561,8,6165,6165,25.500000,27050,24.750000,0,0
48,0,562,8,27050,279,23.750000,279,24.250000,1,1
49,0,564,9,24460,314,22.750000,3377,25.000000,0,0
50,0,565,9,3377,3377,23.375000,303,25.625000,0,0
51,0,566,9,303,303,26.875000,3150,25.125000,0,0
52,0,567,9,3150,3150,26.875000,854,24.750000,0,0
53,0,568,9,854,854,27.250000,13,25.000000,0,0
54,0,569,9,13,271,27.125000,2838,23.625000,0,0
55,0,570,9,2838,2838,25.375000,5947,23.875000,0,0
56,0,571,9,5947,264,30.625000,264,25.125000,1,1
57,0,573,10,15352,314,28.125000,6157,23.625000,0,0
58,0,574,10,6157,314,34.750000,314,24.500000,1,1
59,0,576,11,2981,364,27.000000,17793,25.875000,0,0
60,0,577,11,17793,364,33.500000,364,25.125000,1,1
61,0,579,12,279,48736,22.250000,48736,22.500000,1,1
62,0,581,13,1830,13,20.875000,13,23.750000,1,1
63,0,583,14,561,3296,16.125000,3841,22.000000,0,0
64,0,584,14,3841,3841,22.875000,13477,25.000000,0,0
65,0,585,14,13477,13477,18.375000,37550,23.750000,0,0
66,0,586,14,37550,37550,21.875000,33075,24.250000,0,0
67,0,587,14,33075,33075,22.875000,888,25.125000,0,0
68,0,588,14,888,888,28.875000,279,24.250000,0,0
69,0,589,14,279,15217,22.000000,15217,24.500000,1,1
70,0,591,15,5388,5388,19.500000,3043,23.625000,0,0
71,0,592,15,3043,279,28.625000,279,24.500000,1,1
72,0,594,16,14367,14367,23.500000,5883,23.875000,0,0
73,0,595,16,5883,5883,23.500000,13,24.500000,0,0
74,0,596,16,13,271,26.125000,54134,22.375000,0,0
75,0,597,16,54134,54134,18.625000,10782,23.625000,0,0
76,0,598,16,10782,264,31.250000,264,25.125000,1,1
77,0,600,17,491,9140,22.625000,9140,25.250000,1,1
78,0,602,18,314,5365,23.875000,5365,26.875000,1,1
79,0,604,19,7559,64,26.875000,64,27.000000,1,1
80,0,606,20,7397,303,30.875000,303,25.875000,1,1
