file,line,crate,bucket,current_literal,replacement,snippet
crates/kiln-conv1d-kernel/src/lib.rs,564,kiln-conv1d-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),Device::new_cuda(0).ok()
crates/kiln-flash-attn/src/lib.rs,615,kiln-flash-attn,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),"let device = Device::new_cuda(0).expect(""CUDA device required"");"
crates/kiln-flash-attn/src/lib.rs,675,kiln-flash-attn,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),"let device = Device::new_cuda(0).expect(""CUDA device required"");"
crates/kiln-flash-attn/src/lib.rs,742,kiln-flash-attn,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),"let device = Device::new_cuda(0).expect(""CUDA device required"");"
crates/kiln-gdn-kernel/examples/gates_bench.rs,158,kiln-gdn-kernel,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/src/lib.rs,3365,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/src/lib.rs,3415,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/src/lib.rs,3537,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/src/lib.rs,3692,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/src/lib.rs,3832,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/src/lib.rs,3993,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-gdn-kernel/tests/gated_rms_norm_parity.rs,125,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
