api	crate	path_line	snippet
candle_core::metal_backend::MetalDevice	kiln-tensor	crates/kiln-tensor/src/metal_storage.rs:4	//! `Arc<candle_core::metal_backend::MetalDevice>` for command-queue
candle_core::Tensor	kiln-tensor	crates/kiln-tensor/src/metal_storage.rs:17	//! `MetalStorage` does not hold a `candle_core::Tensor`. The buffer is
candle_core::metal_backend::MetalDevice	kiln-tensor	crates/kiln-tensor/src/metal_storage.rs:43	use candle_core::metal_backend::MetalDevice;
candle_core::metal_backend::buffer_o	kiln-tensor	crates/kiln-tensor/src/metal_storage.rs:123	/// accessor (mirrors `candle_core::metal_backend::buffer_o` 232
candle_core::Device	kiln-tensor	crates/kiln-tensor/src/metal_storage.rs:185	use candle_core::Device as CandleDevice;
candle_core::Storage::Cuda	kiln-tensor	crates/kiln-tensor/src/storage.rs:4	//! `candle_core::Storage::Cuda` (195), `candle_core::Storage::Metal`
candle_core::Storage::Metal	kiln-tensor	crates/kiln-tensor/src/storage.rs:4	//! `candle_core::Storage::Cuda` (195), `candle_core::Storage::Metal`
candle_core::CpuStorage	kiln-tensor	crates/kiln-tensor/src/storage.rs:5	//! (232), `candle_core::CpuStorage` (6), etc. — together over 600 of
candle_nn::loss::cross_entropy	kiln-tensor	crates/kiln-tensor/src/ops/cross_entropy.rs:4	//! `candle_nn::loss::cross_entropy` and `kiln-flce-kernel`'s
candle_core::Tensor::index_select	kiln-tensor	crates/kiln-tensor/src/ops/embedding.rs:20	//! Migration target: `candle_core::Tensor::index_select(...)` and
candle_nn::Embedding	kiln-tensor	crates/kiln-tensor/src/ops/embedding.rs:21	//! `candle_nn::Embedding`. Phase 0.1's audit grouped these under
candle_nn::rotary_emb::rope	kiln-tensor	crates/kiln-tensor/src/ops/rope.rs:3	//! Replaces candle's `candle_nn::rotary_emb::rope` at the RoPE call
candle_nn::ops::softmax_last_dim	kiln-tensor	crates/kiln-tensor/src/ops/softmax.rs:3	//! Replaces candle's `candle_nn::ops::softmax_last_dim` at every call
candle_core::Tensor::argmax	kiln-tensor	crates/kiln-tensor/src/ops/argmax.rs:16	//! standard Rust and `candle_core::Tensor::argmax`.
candle_core::Error	kiln-tensor	crates/kiln-tensor/src/error.rs:3	//! These are the migration target for `candle_core::Error` (106 sites),
candle_core::Result	kiln-tensor	crates/kiln-tensor/src/error.rs:4	//! `candle_core::Result` (43 sites), `candle_core::bail!` (491 sites), and
candle_core::bail	kiln-tensor	crates/kiln-tensor/src/error.rs:4	//! `candle_core::Result` (43 sites), `candle_core::bail!` (491 sites), and
candle_core::ensure	kiln-tensor	crates/kiln-tensor/src/error.rs:5	//! `candle_core::ensure!` — together over 640 of the 1,799 candle call sites
candle_core::Error::Msg	kiln-tensor	crates/kiln-tensor/src/error.rs:28	//! `Error::Msg` is the analogue of `candle_core::Error::Msg`; the typed
candle_core::Error::Msg	kiln-tensor	crates/kiln-tensor/src/error.rs:38	///   substitute for `candle_core::Error::Msg`.
candle_core::Result	kiln-tensor	crates/kiln-tensor/src/error.rs:73	/// Replaces `candle_core::Result<T>` at the 43+ call sites that name it
candle_core::bail	kiln-tensor	crates/kiln-tensor/src/error.rs:79	/// Mirrors `candle_core::bail!` ergonomically:
candle_core::ensure	kiln-tensor	crates/kiln-tensor/src/error.rs:96	/// Mirrors `candle_core::ensure!`:
candle_core::DType	kiln-tensor	crates/kiln-tensor/src/dtype.rs:170	/// `candle_core::DType` via `parse()`.
candle_core::Device	kiln-tensor	crates/kiln-tensor/src/device.rs:3	//! Replaces `candle_core::Device` at the 91 call sites the Phase 0.1 audit
candle_core::Tensor	kiln-tensor	crates/kiln-tensor/src/tensor.rs:18	//! - No `candle_core::Tensor` field. Storage is `Arc<dyn StorageBackend>`
candle_core::Tensor	kiln-tensor	crates/kiln-tensor/src/tensor.rs:27	//! At the 20 `candle_core::Tensor` call sites the Phase 0.1 audit
candle_core::TensorId	kiln-tensor	crates/kiln-tensor/src/tensor_id.rs:3	//! The id is the migration target for `candle_core::TensorId` (30 call sites
candle_core::CustomOp1	kiln-tensor	crates/kiln-tensor/src/device_op.rs:41	/// Single-input op (replaces `candle_core::CustomOp1`).
candle_core::CustomOp2	kiln-tensor	crates/kiln-tensor/src/device_op.rs:81	/// Two-input op (replaces `candle_core::CustomOp2`).
candle_core::CustomOp3	kiln-tensor	crates/kiln-tensor/src/device_op.rs:104	/// Three-input op (replaces `candle_core::CustomOp3`).
candle_core::MetalDevice	kiln-tensor	crates/kiln-tensor/src/metal_allocator.rs:17	use candle_core::MetalDevice;
candle_core::Device	kiln-tensor	crates/kiln-tensor/src/metal_allocator.rs:137	use candle_core::Device as CandleDevice;
