step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,496,0,357,357,18.250000,2438,21.625000,0,0
1,0,497,0,2438,2438,21.000000,35721,24.875000,0,0
2,0,498,0,35721,35721,25.000000,4757,24.375000,0,0
3,0,499,0,4757,4757,25.625000,37568,23.500000,0,0
4,0,500,0,37568,37568,24.500000,4924,24.500000,0,0
5,0,501,0,4924,4924,24.125000,383,23.250000,0,0
6,0,502,0,383,383,24.500000,1396,25.750000,0,0
7,0,503,0,1396,1396,19.125000,34736,24.500000,0,0
8,0,504,0,34736,34736,21.750000,321,23.625000,0,0
9,0,505,0,321,321,24.250000,34872,24.375000,0,0
10,0,506,0,34872,34872,24.625000,310,23.875000,0,0
11,0,507,0,310,310,30.375000,2426,24.875000,0,0
12,0,508,0,2426,2426,22.875000,7289,24.500000,0,0
13,0,509,0,7289,7289,25.875000,86844,24.000000,0,0
14,0,510,0,86844,20569,22.375000,20569,26.125000,1,1
15,0,512,1,13,561,25.375000,561,22.500000,1,1
16,0,514,2,18826,18826,20.875000,37536,24.250000,0,0
17,0,515,2,37536,37536,23.250000,279,23.625000,0,0
18,0,516,2,279,279,25.875000,7258,24.750000,0,0
19,0,517,2,7258,7258,20.750000,1083,25.125000,0,0
20,0,518,2,1083,1083,25.250000,2250,24.625000,0,0
21,0,519,2,2250,2250,27.125000,40257,23.875000,0,0
22,0,520,2,40257,40257,22.875000,1970,23.875000,0,0
23,0,521,2,1970,1970,23.000000,1518,24.500000,0,0
24,0,522,2,1518,1518,23.875000,4025,24.750000,0,0
25,0,523,2,4025,4025,22.125000,23014,24.125000,0,0
26,0,524,2,23014,23014,17.750000,13,22.750000,0,0
27,0,525,2,13,271,23.750000,43404,20.750000,0,0
28,0,526,2,43404,43404,17.875000,303,24.125000,0,0
29,0,527,2,303,303,25.875000,264,24.625000,0,0
30,0,528,2,264,264,29.375000,4098,24.125000,0,0
31,0,529,2,4098,4098,24.000000,1785,24.125000,0,0
32,0,530,2,1785,1785,22.875000,3749,24.125000,0,0
33,0,531,2,3749,3749,24.000000,264,22.375000,0,0
34,0,532,2,264,14733,23.750000,14733,27.250000,1,1
35,0,534,3,3269,3269,23.750000,1328,23.375000,0,0
36,0,535,3,1328,1328,24.500000,466,22.875000,0,0
37,0,536,3,466,264,21.500000,279,23.000000,0,0
38,0,537,3,279,279,25.875000,2849,23.625000,0,0
39,0,538,3,2849,2849,21.500000,668,24.625000,0,0
40,0,539,3,668,668,25.625000,1436,23.875000,0,0
41,0,540,3,1436,1436,24.250000,40922,24.375000,0,0
42,0,541,3,40922,40922,21.000000,13,23.250000,0,0
43,0,542,3,13,271,23.875000,1473,22.750000,0,0
44,0,543,3,1473,7308,15.375000,850,24.250000,0,0
45,0,544,3,850,850,22.375000,3157,27.625000,0,0
46,0,545,3,3157,517,22.750000,61386,27.125000,0,0
47,0,546,3,61386,61386,20.750000,21979,24.375000,0,0
48,0,547,3,21979,21979,22.375000,4687,24.125000,0,0
49,0,548,3,4687,4687,21.625000,369,23.625000,0,0
50,0,549,3,369,369,27.000000,279,22.875000,0,0
51,0,550,3,279,279,25.500000,43070,23.250000,0,0
52,0,551,3,43070,43070,25.750000,8782,24.125000,0,0
53,0,552,3,8782,8782,22.875000,2272,23.750000,0,0
54,0,553,3,2272,2272,23.375000,39219,24.000000,0,0
55,0,554,3,39219,39219,24.750000,3790,23.375000,0,0
56,0,555,3,3790,3790,20.375000,26946,23.375000,0,0
57,0,556,3,26946,13,19.750000,13,21.750000,1,1
58,0,558,4,357,357,18.875000,2438,21.625000,0,0
59,0,559,4,2438,2438,21.000000,35721,24.625000,0,0
60,0,560,4,35721,35721,24.500000,4757,24.375000,0,0
61,0,561,4,4757,4757,24.125000,37568,23.500000,0,0
62,0,562,4,37568,37568,22.375000,4924,24.250000,0,0
63,0,563,4,4924,4924,23.750000,383,23.250000,0,0
64,0,564,4,383,383,22.750000,1396,24.625000,0,0
65,0,565,4,1396,1396,20.250000,34736,24.375000,0,0
66,0,566,4,34736,34736,20.250000,321,23.625000,0,0
67,0,567,4,321,321,21.500000,34872,22.750000,0,0
68,0,568,4,34872,34872,20.125000,310,24.000000,0,0
69,0,569,4,310,2426,24.250000,2426,24.250000,1,1
