step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,501,0,21902,21902,20.750000,279,23.750000,0,0
1,0,502,0,279,491,24.625000,491,27.625000,1,1
2,0,504,1,869,869,24.000000,1608,24.125000,0,0
3,0,505,1,1608,1608,22.250000,279,23.750000,0,0
4,0,506,1,279,11086,24.750000,11086,24.000000,1,1
5,0,508,2,5096,5096,20.250000,11,23.125000,0,0
6,0,509,2,11,1179,27.875000,1179,25.375000,1,1
7,0,511,3,31192,31192,22.125000,279,24.375000,0,0
8,0,512,3,279,7384,24.750000,7384,22.000000,1,1
9,0,514,4,3240,3240,22.750000,321,24.875000,0,0
10,0,515,4,321,279,25.750000,279,24.875000,1,1

