step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,494,0,5339,11,18.000000,31192,23.250000,0,0
1,0,495,0,31192,31192,21.375000,33416,23.875000,0,0
2,0,496,0,33416,33416,24.500000,321,24.375000,0,0
3,0,497,0,321,39334,21.750000,39334,22.500000,1,1
4,0,499,1,18237,18237,22.000000,494,24.125000,0,0
5,0,500,1,494,279,23.750000,279,22.625000,1,1
6,0,502,2,7071,220,14.625000,10641,23.500000,0,0
7,0,503,2,10641,10641,23.000000,11,22.500000,0,0
8,0,504,2,11,1179,27.000000,1179,25.000000,1,1
9,0,506,3,29283,279,20.375000,279,22.125000,1,1
10,0,508,4,62266,62266,19.250000,1698,25.500000,0,0

