step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,508,0,25015,314,17.375000,314,25.375000,1,1
1,0,510,1,1330,1330,24.125000,47205,24.000000,0,0
2,0,511,1,47205,47205,21.500000,369,24.375000,0,0
3,0,512,1,369,369,25.375000,799,24.250000,0,0
4,0,513,1,799,799,23.750000,30797,24.250000,0,0
5,0,514,1,30797,30797,21.750000,314,24.375000,0,0
6,0,515,1,314,4022,26.250000,4022,25.625000,1,1
7,0,517,2,23043,23043,20.750000,11,24.000000,0,0
8,0,518,2,11,321,28.750000,321,24.875000,1,1
9,0,520,3,421,421,30.500000,3202,27.875000,0,0
10,0,521,3,3202,3202,22.500000,369,25.625000,0,0
11,0,522,3,369,3568,26.875000,3568,25.875000,1,1

